Gene_ID,WT_0_01,WT_0_02,CP_0_04,CP_0_05,WT_05_07,WT_05_08,CP_05_11,CP_05_12,WT_1_13,WT_1_14,CP_1_16,CP_1_17,WT_2_20,CP_2_22,CP_2_23,WT_2_25,WT_4_16,CP_4_28
SPD_0539,5735,5242,3766,3899,3965,3131,4485,5584,3265,2546,1775,2136,2683,2210,2719,2396,1101,4018
F53,993,821,702,575,580,572,653,640,561,529,309,445,429,335,410,439,201,639
SPD_0540,199,219,116,95,3294,3188,3072,2926,2363,2513,1314,1584,2600,1594,1798,2016,1057,2141
SPD_0541,13286,12420,10544,10577,16801,14227,20009,22369,7989,6880,6416,6976,6280,5837,6707,7141,3247,10326
pepV,47580,43362,34984,35027,59098,48247,76236,99430,27435,22227,20651,24310,20428,16728,20992,18493,8121,27711
SPD_0543,3925,3388,3092,3089,3475,2875,2753,3551,2621,2594,1217,1513,2603,1866,2252,2625,1311,4430
SPD_0544,1553,1390,1188,1185,1248,1138,1013,1008,966,1150,502,689,1002,714,757,821,447,1407
F22,655,479,523,449,378,369,356,356,270,314,162,206,267,236,222,256,144,422
brnQ,114600,98213,37247,35164,31739,25503,13686,17816,40008,29383,7908,9293,19257,16137,20761,24786,10654,32967
SPD_0547,9830,9039,4553,4315,12207,9809,12384,16902,8156,5922,5259,5998,5821,5143,6411,3922,1635,6401
SPD_0548,5024,4363,2626,2434,6851,5569,7271,9253,4413,3459,3182,3739,3208,2865,3208,1860,827,2700
SPD_0549,9591,8362,5144,4600,13623,12093,15063,16714,8674,7406,6911,8454,7056,5471,6230,3627,1669,5107
rplK,209531,185984,101250,94108,63640,58264,30321,31016,70191,54782,18967,22308,74623,67158,64234,124303,54045,169331
rplA,325548,292390,160960,147257,97660,90655,42744,48112,106666,90601,30814,35886,109163,91936,87465,164106,73189,201666
SPD_0552,13,8,5,6,25,15,27,33,29,21,6,11,20,11,16,15,5,24
SPD_0553,515,318,290,247,52,74,55,49,203,217,69,95,591,404,483,635,442,1187
SPD_0554,44507,38983,36006,36405,55561,44556,64943,80580,37675,29897,31653,36345,27659,33935,36668,20332,8672,37025
SPD_0555,39607,33644,32052,31649,52121,42512,58562,76974,38889,32407,32950,35405,25341,30158,32246,17497,7827,28388
SPD_0556,52386,44958,41382,40984,79946,63683,83289,104493,57518,47673,44380,50953,35036,40132,42752,21650,9726,35655
SPD_0557,33824,28317,28038,27328,50074,43023,52954,56072,38620,33439,28775,33528,21981,26950,26418,14225,6376,22961
trn0329,10488,8941,7821,7761,15390,11638,15397,17388,10157,8114,6672,8304,6370,6059,7847,3243,1536,6045
prtA,50462,38742,35146,29301,43147,41515,38863,31133,63909,62307,39001,46421,50800,44934,39854,110640,49902,57075
SPD_0559,628,545,545,404,581,486,474,384,424,334,268,215,374,268,211,594,430,557
SPD_0560,259,240,164,155,217,206,200,177,126,141,87,83,157,53,62,154,121,165
SPD_0561,1637,1294,880,818,2283,1875,2036,2549,1535,1202,947,996,1113,623,775,1132,587,924
bgaA,9795,8593,6101,5944,18642,15352,14747,17595,10675,8670,8166,8813,8468,4873,5678,4035,2131,4244
SPD_0563,303,264,196,202,644,554,599,545,423,445,309,411,381,300,309,495,210,432
SN11,57,42,77,58,10,10,12,4,0,37,5,13,12,31,15,13,12,39
SPD_0564,2005,1615,1380,1235,2103,2598,3705,2069,1767,1641,1661,1826,1320,2027,1737,1626,844,1857
SPD_0565,1999,1764,1087,1025,1993,1729,2418,2807,1435,1141,937,1075,1303,1319,1404,1417,708,2200
SPD_0566,2137,1857,1208,1136,2240,1725,2605,3557,1529,1308,1033,1115,1282,1149,1580,1445,517,2397
SPD_0567,1812,1720,840,907,1535,1213,1700,2219,919,742,638,693,742,757,1004,800,404,1519
SPD_0568,587,587,407,385,530,531,619,567,339,416,316,364,276,399,382,428,182,490
SPD_0569,11553,10044,7047,6814,9147,7864,10979,12305,6306,5807,4928,5722,4196,4377,5058,4087,1924,6787
SPD_0570,5701,4699,3570,3511,3950,3603,4904,5002,3147,2710,2219,2736,1792,1966,2230,1791,895,2547
ccdA-1,441,348,251,232,503,371,598,662,387,382,512,572,433,568,494,230,86,493
SPD_0572,427,347,202,188,660,472,648,744,521,430,555,605,499,449,585,179,77,389
