Gene_ID,WT_0_01,WT_0_02,CP_0_04,CP_0_05,WT_05_07,WT_05_08,CP_05_11,CP_05_12,WT_1_13,WT_1_14,CP_1_16,CP_1_17,WT_2_20,CP_2_22,CP_2_23,WT_2_25,WT_4_16,CP_4_28
SPD_0909,12363,10473,6960,6716,48959,41211,42760,46807,31455,25675,21910,24477,20777,22245,23883,13286,5726,20884
SPD_0908,18446,16621,10103,10370,83034,65748,70851,87264,52637,40318,34509,39335,37206,35704,44053,21762,8864,37941
hemK,9925,8302,5484,5031,27653,23777,24826,23592,20246,17796,14210,16974,15412,16301,15318,10991,4794,16479
prfA,15448,14461,6610,7075,12890,10622,12570,16686,10598,8513,5787,6171,9120,7744,8818,8382,3744,13185
SPD_0905,7931,6443,4261,4003,6502,6108,7011,5486,5757,5464,3531,3963,5917,5419,5001,6310,3026,7589
tdk,6508,5947,3143,3146,6499,5115,6918,8855,5739,4449,2831,3233,5192,5619,5701,5533,2505,9861
xylH,710,797,427,356,744,1554,2299,799,937,908,695,765,684,1169,1324,1292,523,1875
trmE,8789,7848,5630,5596,12488,10841,13498,15144,8738,7495,3997,4724,8418,5074,6878,11227,4682,12297
dapA,13344,11513,5057,5093,29511,24956,25582,31859,22222,17538,14364,17417,18220,13654,16025,10429,4455,12642
asd,26589,22888,9679,9751,56083,46300,47090,54686,38719,29733,21944,27070,26503,24482,26115,18742,7928,23939
sRNA17,622,485,172,229,200,249,246,108,358,464,193,246,179,480,214,203,115,296
tRNA-Thr-1,23,24,22,16,6,8,3,0,15,12,1,13,25,55,43,119,44,133
SPD_0898,44957,37771,21876,20035,6024,5614,2722,2528,7637,5674,1387,1403,6690,6668,5384,15319,6612,16422
SPD_0897,569,479,249,159,558,579,917,573,525,565,373,475,590,472,397,494,298,552
mscL,28702,23044,19005,17436,9237,11124,9010,5477,8946,8140,2760,3067,7240,6297,5546,18203,7371,15037
hemH,162,149,83,63,196,219,150,116,278,266,74,93,222,104,102,378,229,285
pepT,12568,10809,8724,8111,49012,40127,53655,68056,37638,30256,19666,23971,32875,21907,25884,23417,9794,29268
SPD_0893,289,229,94,87,32,26,11,9,30,41,17,34,65,10,36,6,8,24
SPD_0892,251,236,87,65,19,21,5,3,13,47,11,35,62,16,24,1,3,7
SPD_0891,85,76,27,37,15,5,2,5,24,16,3,9,31,7,9,2,0,1
trn0485,14,12,4,4,6,10,0,0,27,13,2,11,5,7,4,3,1,10
phtE,17428,17229,8574,7860,17518,16643,6240,5271,22965,30264,4266,7421,19601,13436,15855,6591,3645,12411
phtB,494,628,289,295,2085,2035,1521,1353,2324,2802,848,1347,1686,922,1299,439,271,800
phtA,10711,9382,10155,9371,15998,14205,14536,14977,17721,18313,7644,9849,14906,13908,15132,10697,4840,16191
ptsI,285857,263764,230728,226251,371113,309446,357131,493972,305021,240081,144449,178666,242232,173968,206831,183711,79966,264982
ptsH,53105,45598,48971,47512,106403,105955,109075,92148,83600,78145,43424,53873,68583,64961,51435,79834,38298,90212
nrdH,20451,17154,17254,16633,17498,20312,15085,9333,8879,8532,9068,10709,7601,9600,9177,9743,4345,10955
nrdE,129718,113082,96429,94694,167103,147976,112079,131462,63835,55179,66127,76800,54118,49334,59483,47915,20723,60520
nrdF,53287,46785,33914,32094,47791,45449,24648,24696,23309,23243,20809,24395,20102,15780,18542,14209,6784,19034
lacR2,15761,13818,10295,9044,33012,34073,66615,52885,11684,12295,13120,15959,10392,9595,8606,9580,4457,10170
SPD_1045,113,72,79,65,43,55,51,37,59,75,33,50,39,24,28,14,6,20
lacG-2,705,625,421,393,308,227,256,279,170,153,169,187,196,136,137,82,16,93
lacE-2,2135,1715,1063,944,504,471,502,571,404,313,284,274,421,236,312,233,106,261
lacF-2,329,281,134,176,79,44,56,71,19,33,18,35,39,15,25,16,19,44
lacT,1524,1264,756,669,224,225,187,197,242,148,116,171,190,129,166,189,59,202
lacD,4532,4075,2900,2835,4668,3843,4311,4371,4012,3366,1470,1785,2457,1364,1550,1844,826,1809
lacC,3568,3182,2360,2215,3739,3041,3487,4124,3422,2667,1215,1475,2283,1232,1341,1655,888,1525
lacB,2496,2025,1618,1466,2545,2055,2291,2431,2273,1819,810,997,1629,813,864,1405,547,1162
lacA,1562,1333,875,909,1316,1141,1169,1337,1318,1069,541,553,876,467,602,1084,507,1028
SPD_1054,110,61,39,11,94,58,86,65,63,49,34,32,87,40,37,51,12,65
SPD_1055,42,17,15,5,22,28,19,21,15,9,8,12,23,10,16,14,3,13
SPD_1056,105,90,62,49,104,96,94,103,91,100,62,58,119,50,60,74,26,67
SPD_1057,48,23,13,8,17,17,19,16,16,4,4,11,15,5,20,3,9,19
SPD_1058,134,90,75,52,68,65,61,57,69,129,38,54,75,37,41,80,21,98
SPD_1059,1,1,0,0,1,0,0,1,1,3,0,0,0,0,2,0,0,0
lepA,42879,38108,26996,27517,31804,25126,35944,49389,27621,22793,14766,17855,22468,16606,19000,17801,8615,25324
SPD_1061,11868,10096,7285,7377,3423,2614,1708,2154,4075,3270,1017,1100,3316,1594,2193,3585,1769,4821
recN,28057,23405,18937,18946,9553,7780,5529,6297,11514,9303,3252,3905,10006,5869,7315,12251,6269,15724
SPD_1063,6479,4983,4674,4586,2586,2412,1796,1564,2861,2712,1061,1161,2871,1711,2092,3782,1698,4391
SPD_1064,8004,7249,5603,5926,3821,3040,2646,3584,3806,2962,1424,1560,2994,2364,2779,4091,1936,6516
ispA,10034,8707,6683,7026,6188,4835,4582,6406,5781,4058,2136,2410,5104,3711,4603,6633,3103,9915
xseB,1189,1028,884,941,969,790,730,871,808,684,389,400,695,600,719,1004,530,1470
xseA,10600,9343,7574,7921,10707,8641,8874,11115,9364,7788,4542,5015,9545,7525,8128,11567,5110,17110
udk,7307,6776,3150,3300,2823,2226,1644,1986,3804,2884,766,786,4249,3432,3953,7143,3030,10951
SPD_1069,10025,8555,6530,6335,7035,6724,6615,6103,5384,4637,2282,2806,4018,3450,3836,6357,2742,7824
truB,4903,4292,3257,3349,5001,4211,4140,5648,4407,3754,2285,2416,2567,2232,2445,2105,783,2650
SPD_1071,14425,10104,11073,8774,21325,19723,21134,15952,15890,16342,10102,12823,14222,9285,8500,11462,5672,11897
SPD_1072,4658,4169,3274,2863,6512,5324,7571,7747,4025,3289,2371,2639,3097,2813,2583,3317,1469,3929
SPD_1073,407,397,371,385,2082,1756,2850,3518,1301,1106,772,984,1317,1115,1340,998,475,1329
SPD_1074,18,12,11,23,96,93,94,65,67,108,69,81,31,79,37,61,44,81
SPD_1075,2394,1915,1230,1069,1104,883,817,1044,969,898,476,613,1225,703,678,1257,775,1348
srtA,31758,25253,21581,19524,50179,48719,75874,63265,32613,32064,26018,32759,31586,23313,20018,19616,9367,24544
gyrA,81625,74298,43089,44789,115940,91053,150867,209096,68795,55483,44071,54225,62773,44687,54397,45411,19498,74154
ldh,210850,178875,179063,172735,318381,257932,357090,465911,248935,198757,126544,150413,212587,163046,176295,194022,82313,239197
SPD_1079,25679,22064,12983,13097,99816,91085,159240,151223,57887,58252,68256,82814,63915,46446,45496,17472,8420,26769
SPD_1080,11429,9548,5724,5094,40091,37106,62964,56467,22995,23355,27675,33593,25925,21975,20698,10861,5225,16343
SPD_1081,1010,932,517,529,4525,3898,7298,7227,2578,2307,3050,3728,2782,2549,2565,1343,608,2102
SPD_1082,845,694,452,403,3508,3323,5808,4158,2370,2534,2795,3455,2567,3059,1875,1487,564,2020
vicX,30563,27629,19229,19644,16387,13694,14421,16575,13218,11194,4855,5857,9981,6239,7738,9579,4441,13803
SPD_1084,60442,53147,45547,44747,46048,37728,45788,47370,32635,27653,14613,17487,26402,17878,19454,26450,11940,32621
SPD_1085,25570,22822,19197,19315,22414,19201,24761,29139,16038,13455,8157,9472,13321,8961,10403,13299,5777,16467
mutY,35016,29528,28131,28419,33162,27435,38273,42101,23753,19612,11472,13327,20194,12644,15119,17872,8000,21277
fhs,53890,49486,52241,53547,76870,59428,58022,75598,59338,49051,20178,23541,49797,22342,27540,34258,14540,32898
coaB,4621,4012,3133,2835,11206,10979,13877,11822,8500,7701,5396,6028,7836,6086,6663,8001,3303,7542
coaC,4678,3852,2783,2637,8087,7651,9919,9416,5707,5171,3413,3883,5369,3472,4689,5072,2010,5221
SPD_1090,7779,6523,5916,5763,12923,13905,19980,16042,9688,9627,6529,6948,7708,5391,6270,8632,3361,6990
SPD_1091,2020,1782,1279,1128,4457,3937,3401,3784,4542,3700,2330,2627,3540,3409,3872,2536,1284,4267
SPD_1093,5642,4997,2878,3057,8197,7007,7349,8367,6715,5342,3841,4275,5482,4794,6376,4059,1911,7382
SPD_1092,5824,4851,3862,3654,5617,5003,5488,5440,3818,3134,1813,2289,2661,1824,1956,2304,1061,2545
SPD_1094,4020,3346,2898,2602,4270,3930,4465,4199,2960,2693,1744,2080,2103,1666,1407,1956,909,1775
SPD_1095,4777,4026,3343,3031,5440,4988,5834,5552,3805,3549,2586,2881,2885,2244,1899,2356,1151,2315
uvrB,15528,14290,9088,9221,15652,11913,16385,23818,9188,6641,5331,6189,6818,5699,6741,5436,2319,8333
SPD_1097,3420,2818,2089,1903,6172,5269,7491,8972,4283,3926,3802,4524,4226,3839,3870,2716,1327,4183
glnP2,198152,176457,130549,122283,66518,61533,111411,112151,34007,34658,31757,38847,41882,25400,28175,23112,11150,30265
glnQ1,68012,63396,35956,35060,23888,20870,47542,54873,11153,10200,12151,13858,12930,8931,11159,4196,2109,7864
zwf,77128,69992,43191,41896,78983,67930,113788,120343,42641,38310,37913,44525,38866,29803,35819,26200,10855,32648
ftsY,21322,18222,13928,13732,6462,5078,2716,3567,9141,8678,2076,2506,6681,3501,3505,7432,3629,7956
SPD_1102,10592,8729,6877,6561,3313,2533,1418,1677,4519,3940,1017,1149,3481,1756,2077,3360,1627,4219
SPD_1103,8341,6880,5094,4891,3114,2200,1241,1548,4185,3519,909,1051,2975,1760,1950,2955,1353,3779
smc,23310,19772,14496,14823,13763,10874,7772,9399,18263,15647,5186,5984,13777,9909,11000,17766,7543,23199
rnc,1381,1111,827,758,1828,1655,1753,1554,2818,2157,912,1035,1866,1877,1761,2681,1358,3298
tRNA-Arg-1,579,430,1450,1250,5508,4905,5503,4448,3284,2984,1164,1685,2361,1761,1718,2552,1135,2196
guaC,17482,15417,42199,41813,114885,97067,104155,120618,54962,48861,21611,26351,39731,30307,32220,42845,18287,39966
SPD_1108,3565,2729,1720,1662,7614,6725,9534,9691,5757,5401,4418,5733,5709,3624,3587,2176,917,2525
SPD_1109,5348,3937,2721,2448,9537,8397,11065,10572,7279,6987,5611,7024,7103,4317,4092,3747,1935,3742
SPD_1110,1125,946,357,430,175,100,120,158,167,159,77,120,161,118,182,149,36,310
SPD_1111,1265,990,452,487,183,143,111,206,281,260,112,190,209,212,287,184,82,482
SPD_1112,1252,1011,459,537,233,169,147,228,259,208,116,167,187,251,290,170,109,475
SPD_1113,2890,2298,1316,1337,560,432,372,459,743,705,358,487,668,643,737,631,322,1163
SPD_1114,5,1,2,1,0,0,1,2,1,0,0,0,0,3,0,1,0,3
leuB,6040,5226,2633,2550,1320,1034,864,1272,1924,1654,841,1013,1615,1616,1965,1651,802,3303
leuA,6267,5055,2952,3076,1876,1531,1398,1624,2997,2634,1266,1634,2449,2385,3113,2475,1284,5144
SPD_1117,3624,3087,1912,1870,1794,1473,1499,1728,3092,2729,1261,1592,2648,2678,2994,2590,1171,4724
cutC,12243,10659,7707,7620,16051,12622,19119,25488,14374,11362,9108,10758,11557,12448,14375,11570,5104,21764
SPD_1119,7134,5782,5080,4796,12555,10500,15799,16407,11683,10246,8264,9338,10814,11648,11316,11445,5202,17698
topA,21740,19521,8267,8956,23113,19005,17915,21046,22488,17817,7206,8374,21515,15086,17966,26319,11567,34849
SPD_1121,4667,3789,2258,2417,6433,6104,6352,5237,8194,6784,3176,3559,7436,6961,6688,8001,3486,7866
dprA,1475,1232,608,652,317,251,336,328,3543,571,5726,2428,81554,94462,77762,22660,7253,35363
licC,48216,38357,22869,20565,26475,23591,30867,30735,21594,20277,14566,18192,15556,14843,14695,16227,7075,16179
licB,56627,46768,22082,21332,31312,26826,35637,44343,23564,20248,16086,19217,16771,16257,17681,15954,6729,19106
pck,69675,54136,29743,27424,35878,33665,45976,39306,26210,24328,19730,24876,22964,20460,20436,23393,9341,23339
SPD_1126,72711,61148,27900,26720,34920,29180,43844,54516,24857,20706,18873,22044,21147,19717,22204,23530,9334,26363
ispD,50574,41081,18235,17569,19252,17406,27276,28389,15001,12789,12179,14490,13145,14734,14651,17863,7187,19142
SPD_1128,22934,19472,13807,12807,9945,9356,14183,12645,7484,6641,5391,5961,5461,5815,5941,5734,2565,7023
licD1,12364,10178,8121,7650,7009,7307,10386,7786,5360,5339,4416,5352,3983,3792,3383,3583,1615,3840
licD2,13650,11126,7877,7562,8058,7763,11744,10307,6415,6060,4227,5189,3869,3557,4076,3510,1486,4238
carB,60810,53625,180600,170437,1630535,1246610,894040,1100453,351320,310701,85352,111722,606705,203364,228894,183409,89344,273106
carA,25414,22753,44980,43791,517071,398341,273129,332793,108852,93219,26150,32708,176315,66730,77906,86685,39441,127454
pyrB,23737,19917,39457,38441,406543,314618,194604,215561,95337,78556,19527,24824,152544,65893,74758,110973,49750,146090
pyrR,11120,9342,17072,16239,187179,147017,86253,90198,43145,35570,8374,9927,73269,36650,37052,67576,31511,88043
SN42,2190,2096,2544,2596,11676,10890,6256,4309,3842,4429,1185,1312,4332,4506,1845,7420,3773,7026
nth,13782,12798,9144,9173,13531,10842,15599,20250,7460,6057,3786,4676,5713,3955,4766,6081,2617,7596
SPD_1136,13013,11001,9186,8845,13888,12268,16708,15299,8272,7106,4477,5302,6873,5015,4899,8501,3897,8458
F43,148,109,104,92,77,139,57,17,85,97,43,33,109,213,76,420,150,290
SPD_1137,2084,1874,1032,946,1421,1483,1071,903,851,840,361,467,1622,1797,1728,2659,1369,4777
htpX,39678,34900,27121,26737,109814,85050,146630,222200,41716,33133,34671,40105,32318,32842,36617,20929,8938,33324
lemA,27286,23031,22227,21515,79077,68979,106514,117882,32206,29430,28018,33595,26278,29712,26969,22423,9848,29389
gidB,5359,4883,3100,2982,3228,3100,4785,3872,2409,2173,1486,1465,1875,1667,1902,2033,1063,2511
F44,1419,1150,4464,4537,12808,11511,2739,1524,5121,5847,990,1018,7680,9325,2813,22415,11440,17243
uraA / pyrP,22308,19065,52115,50936,253556,190558,56761,67057,72888,56211,9244,10271,116718,64526,72608,125841,57498,185772
ffh,22040,20716,11525,11864,25720,21349,31148,39154,17214,14734,11014,12856,13622,11286,12740,11278,5075,15637
SPD_1143,2970,2743,1458,1441,3295,3167,3916,3963,2531,2409,1485,1850,2271,1856,1987,2151,953,2576
SPD_1144,2129,1880,1138,981,2294,2357,3412,2569,2186,2175,1529,2005,1718,2004,1798,1698,932,2870
SPD_1145,4467,4482,2953,2874,3865,3956,6168,6205,2614,2438,2150,2021,2381,1902,2397,2551,1066,3397
SPD_1146,4061,4065,2954,2781,4117,4120,6810,6543,2509,2543,2022,2262,2027,1440,1808,2183,1113,2341
tRNA-Arg-2,602,416,260,224,238,259,134,125,874,600,129,141,1040,893,1307,1609,826,3479
rplS,192847,178313,107667,105350,86546,98289,48683,46336,85447,70715,30495,35484,66832,78185,71698,98974,47172,140199
crcB1,3419,3052,2028,2101,16284,13208,16053,18339,8908,7916,8112,9416,8097,8701,7969,4257,1986,6884
crcB2,3041,2720,1590,1729,16463,12133,15304,22944,8219,6355,6975,7674,7401,7131,8447,3699,1649,6401
SPD_1151,1583,1314,1083,1298,10410,8295,11011,9962,5705,5148,5714,6212,5613,6423,4579,3882,1781,4712
fld,18551,16722,11439,11510,20264,18201,29119,33789,17342,13301,9342,11476,13855,13682,13697,13389,5961,17591
SPD_1153,7260,6688,5122,5000,8341,6920,8970,11125,5093,3977,2735,3096,3622,3167,3683,3982,1747,4859
rpmE2,117163,111697,66016,61806,37577,72507,93467,34258,51022,49603,44794,48370,33608,72568,78371,79328,35734,137991
SPD_1155,306,271,213,208,163,146,204,201,154,143,101,140,156,180,193,170,96,228
SPD_1156,549,472,331,341,541,414,694,879,424,347,272,328,366,359,484,295,141,555
SPD_1157,139,89,87,43,203,139,241,275,164,198,100,139,152,93,157,92,57,213
gdhA,97054,85658,50268,49969,79534,63545,73705,98663,67710,54135,34777,42512,61718,51851,55936,45980,19906,60552
SPD_1159,3111,2712,2379,2132,3381,3474,4230,2791,1607,1385,1256,1264,986,1180,983,1247,662,1513
SPD_1160,12162,10805,9950,8906,12624,12159,14719,11157,5987,5669,3774,4664,3659,4374,4047,4310,2104,6071
SPD_1161,337,268,209,162,288,295,373,198,193,182,96,118,204,227,172,299,143,355
SPD_1162,266,174,107,86,90,72,85,134,203,146,206,173,100,153,165,93,27,132
SPD_1163,436,375,213,203,210,210,178,269,465,305,329,390,261,299,370,189,110,340
cdd-2,446,319,294,277,317,289,217,237,707,639,663,671,403,520,478,333,202,494
SPD_1165,2375,1824,1606,1427,5020,4845,4074,4033,7050,6064,6599,8481,4932,4599,4271,3647,1532,3808
SPD_1166,8307,6304,5747,4901,14107,12880,12969,13662,19169,16326,19091,22039,13482,13901,13715,8953,3769,10107
SPD_1167,8371,6181,5320,4595,15395,14405,16900,16870,22389,17606,22829,25221,16234,16306,15029,10139,3736,11221
SPD_1168,2084,1516,1157,1021,4366,3908,5286,6398,5983,4664,6330,6554,4513,4307,4311,2749,1042,3237
SPD_1169,1921,1411,1128,808,4452,4139,6253,6549,6302,5100,6593,7331,5250,4394,4219,2892,1092,3629
SPD_1170,7251,5129,4332,3762,19858,19767,24976,21141,26372,26578,23226,29251,23676,15482,12996,19692,8881,14513
SPD_1171,3238,2368,1625,1400,5496,5037,6391,5604,7256,7191,5438,6651,6034,4298,3910,5775,2601,4727
nanE-2,646,547,253,213,893,687,1012,1183,1234,838,808,892,831,655,737,801,294,861
SPD_1173,956,778,366,419,1145,976,1392,1435,1475,1226,908,1204,1273,1093,1197,1242,608,1339
SPD_1174,16,5,5,8,3,3,3,3,7,2,2,3,5,5,7,2,2,10
SPD_1175,2843,2193,3428,2885,7346,6636,7057,7058,7310,6967,5564,6865,6787,5039,4922,3898,1947,4770
SPD_1176,1375,1008,1790,1601,4348,4249,4486,3665,4460,4227,3279,3959,3951,3236,2579,2864,1350,2761
SPD_1177,2381,1647,2982,2407,7262,6661,7329,5596,6600,6265,4298,5487,6473,4543,4414,5228,2294,4552
SPD_1178,2326,1728,2825,2475,9456,8275,9284,8026,8027,7318,5156,6273,8031,6127,5611,6074,2713,6384
SPD_1179,3309,2567,3652,3296,15867,13787,16910,14226,11554,11003,8621,10069,13431,9051,8790,12406,5906,11880
SPD_1180,559,426,66,55,21,30,24,23,11,12,7,5,16,17,16,7,41,11
SPD_1181,152,112,7,7,6,4,5,6,4,10,3,2,14,0,3,0,2,4
SPD_1182,374,324,59,76,18,16,8,16,8,5,13,4,20,12,4,7,4,12
SPD_1183,305,252,69,75,14,17,9,10,13,3,1,2,17,9,13,0,5,5
SPD_1184,209,175,47,36,10,4,8,2,13,9,5,2,18,4,14,21,4,9
SPD_1185,146,80,31,27,2,1,4,5,7,0,1,2,6,5,1,6,0,2
SPD_1186,1,15,34,15,2,1,5,3,77,1,0,8,3,16,10,1,11,3
rplL,220444,203230,105197,97929,61137,55976,32591,34202,89209,81053,27462,31883,84378,74214,64991,97944,47173,125900
rplJ,192406,183664,87307,84255,52555,44191,26558,29662,74881,62702,21107,22873,69856,64166,59686,80978,38794,130095
SPD_1189,65,152,202,121,15,13,13,19,373,31,13,19,45,124,49,28,32,27
sRNA54,29488,23854,17205,15523,8708,8453,4493,2434,12663,12695,4280,4358,12439,12490,7199,16764,7933,23160
SPD_1190,8762,8201,4118,4412,75956,61846,124045,162155,47924,39322,44557,54985,57406,39415,44338,27171,11800,36675
SPD_1191,13786,13198,6234,5964,7767,6719,8126,9970,8743,7897,6594,7634,6498,5414,7920,3923,1849,6251
SPD_1192,10969,9662,5818,5227,7299,6125,7611,8515,7959,6949,5731,6629,6366,5136,6618,3435,1584,5059
msrAB1,33471,30413,22799,22857,74408,58044,73764,96790,38455,30640,22158,26420,29035,19549,24574,19106,8315,24831
thrB,23482,22267,16608,17445,49234,37588,51780,73213,25945,19790,15156,18000,19654,14308,16722,13793,5851,19332
hom,34100,30349,24537,24453,71529,58568,78387,93773,41092,31498,24064,28825,32773,24896,29739,27064,11327,37552
mecA,20499,17922,11614,11227,26802,24916,31223,28734,20240,17103,11728,15346,18514,15253,14875,16758,8033,22150
SPD_1197,43345,34317,28048,24407,21965,20217,17171,15607,24353,23378,10821,13551,17058,12271,11124,17407,8566,17027
SPD_1198,32400,24881,17518,15680,13814,11871,10123,11197,15330,13263,6211,7340,10867,7661,8078,11441,5484,13197
SPD_1199,17349,12921,8802,8226,7221,6273,5443,5352,7691,6287,2892,3149,5946,4820,4765,7635,3337,9480
SPD_1200,20813,15541,11813,11011,10358,8958,9040,8459,10750,8825,4276,5040,8692,8124,8019,11491,5172,13889
licD3,16130,12601,9049,8671,10936,9233,11458,12145,9910,7691,4590,5435,8223,8614,9128,8976,4053,13972
psr,22736,19940,16006,15684,27706,22879,25515,27047,20683,19290,13345,14736,15587,11901,12502,9381,4173,12709
SPD_1203,13792,11919,9252,9396,18329,14578,20222,23332,12364,10246,8234,9578,10309,7050,9337,5786,2472,8769
aroK,6952,5953,4873,4652,11171,9114,12976,13934,7069,6324,5259,6078,6314,4765,5142,3582,1710,5011
aroA,14348,12591,9366,9024,25990,20073,29001,37027,15888,13022,11335,12456,13525,9919,12415,8760,3833,13349
SPD_1206,6601,5644,5015,4521,8999,8649,9438,9215,6364,6134,4465,5450,5119,4037,4117,3435,1659,4024
tyrA,14687,14034,10573,10670,21181,17237,19825,28198,14345,12052,9330,10500,10566,8442,9343,6224,3277,9332
aroC,11248,10830,7725,7583,17222,13392,15434,24261,11332,9497,6979,7615,8422,6645,7608,5527,2610,8402
aroB,9822,8642,6483,6496,12779,10266,10988,16114,8745,7828,5042,5867,7096,5572,6098,5340,2558,7890
aroE,10130,9035,5545,5828,10945,8649,9487,13274,7291,6006,4057,4435,6137,4805,5643,4976,2425,8135
aroD,11460,10332,6647,6636,11549,9241,10673,13194,7858,6334,4082,4825,6769,5083,6003,6803,3069,9273
SPD_1212,23890,20787,16166,14930,30012,27081,33219,30619,24943,21065,17280,19217,21274,26630,26823,23169,11126,39866
SPD_1213,451,402,223,225,248,189,162,213,235,325,118,197,535,397,368,271,100,429
SPD_1214,215,194,77,82,72,88,43,88,102,122,42,36,189,172,146,133,92,154
amy,4651,4499,1105,1184,2473,2094,2605,3706,893,737,766,922,628,609,705,406,178,773
alaS,55497,54719,34202,34474,15065,11443,5736,7837,14842,11042,2708,2830,13345,7384,9205,18220,7872,22350
SPD_1217,8551,8385,5152,5138,1852,1484,710,912,2186,1547,344,381,2128,1556,1673,3774,1741,4308
potD,16742,14321,8774,8472,4382,3792,2715,2905,4436,4159,1476,1691,3520,2235,2820,3346,1657,4847
potC,10088,8488,4466,4680,3124,2504,1902,2353,2848,2251,949,1196,2479,1545,2155,2092,1063,3767
potH,9391,8233,4313,4225,3540,3007,2470,3013,3297,2741,1129,1381,2879,1984,2762,2981,1264,4798
potA,12055,11057,5948,6040,6229,4838,4649,6457,5613,4346,2071,2385,4924,3832,4950,5997,2726,9432
murB,6599,5765,3217,3193,4385,3644,3714,5136,4814,3362,1578,1768,3982,3584,4072,5531,2365,8009
SPD_1223,13628,11681,7562,7392,11376,9856,15447,18877,9516,7440,5921,7144,7774,7218,8046,7444,3133,10478
budA,8624,7897,4464,4642,8878,6509,11614,17112,6613,5017,4437,5238,5590,5696,6465,4407,2021,8025
SPD_1225,25,17,10,16,61,42,80,87,61,34,26,18,32,50,52,26,33,48
SPD_1226,8826,7280,6083,5457,45708,37871,54822,62640,44694,39156,30553,37610,44283,38492,32911,18040,8222,24355
SPD_1227,36606,33279,23391,22177,50584,41716,40680,49334,30445,26193,16662,19757,20069,13699,16861,11672,5132,16011
SPD_1228,34278,30531,21206,20341,43706,36182,34999,42928,26160,23046,14763,17412,17949,12369,15447,10660,4787,14978
SPD_1229,36474,32158,22159,20838,41642,35417,34031,38267,25522,22375,14351,16499,17459,12918,16501,11405,4860,16290
SPD_1230,29809,26377,17559,17080,33915,26374,25947,37817,21885,17246,10893,12632,15139,10792,14390,9552,4163,14659
SPD_1231,35488,31886,23999,22943,40486,31634,30864,42814,28965,24113,15521,16579,19627,16937,19602,17092,7369,23131
SPD_1232,37994,33001,25858,24644,39181,31924,31661,40372,29398,23654,15690,17083,21737,19609,21536,20387,9153,28004
SPD_1233,5608,4691,3364,3367,1699,1470,1014,1175,3346,2747,768,895,2692,1848,2315,2453,1228,4481
SPD_1234,2928,2669,1639,1710,3840,2971,3631,4892,4013,3680,1999,2124,2987,2401,2879,2447,1103,3868
SPD_1235,967,893,597,553,1801,1543,1881,2018,1675,1358,988,1169,1374,1198,1590,928,467,1625
spxA2,14482,11744,8308,8392,17209,20270,27614,15966,19265,17400,14053,17311,14807,20388,20099,14464,6808,23478
SPD_1237,17802,15116,12010,11771,14011,11594,14377,16309,10218,9143,6561,7453,7979,6903,7444,6406,3120,9570
SPD_1238,14890,14234,8644,8782,12506,9257,12615,18966,8151,6593,4678,5457,6168,5622,7078,4674,2212,9180
SPD_1239,15442,13700,9068,9094,11460,9139,12058,15104,8162,6474,4988,5520,6580,6135,6939,5230,2536,9768
SPD_1240,27399,24212,16881,17182,22739,18638,23516,29465,16198,12609,10394,11453,13404,13071,15402,11899,5308,22052
SPD_1241,16135,13719,12688,11938,27129,25819,34368,31089,19743,19066,15975,19190,16324,14919,15027,13131,5993,17756
SPD_1242,10510,8903,7126,6851,15030,11965,16492,20936,11133,9117,7231,8963,9063,8502,9129,7299,3152,11785
lgt,19842,17110,13518,13554,26523,20520,27433,37506,20749,16739,14017,15603,17824,16537,17812,15267,7164,25378
hprK,24039,20979,14593,14404,31812,25142,34433,47985,24076,18423,16732,18928,25055,23568,26420,24350,10919,44380
rpsU,31455,29604,20367,19337,57864,62410,77929,63673,29319,31778,29041,36319,30429,31837,26622,25217,12963,34072
nagB,81908,74943,59031,57570,177108,158107,205513,227260,83674,78359,76089,92497,85347,78470,74757,70085,33309,108262
queA,9354,8985,5174,5528,7035,5929,8514,10311,4518,3705,2546,2858,3135,2978,3502,3554,1465,4790
SPD_1248,2976,2397,1208,1156,1648,1389,1655,1667,1376,1246,592,872,1035,714,878,613,360,1091
SPD_1249,4373,3722,2368,2225,4241,3617,3955,3849,3519,3008,1665,1901,3078,1920,2278,1699,830,2452
nadE,4877,4601,2754,2649,5863,4715,5357,7022,4123,3399,2064,2414,3447,2151,2989,2374,993,3312
pncB,5717,5500,3399,3387,10686,8284,9897,14989,7725,6250,4008,4773,6769,4433,5154,5505,2447,6890
SPD_1252,762,627,381,322,2080,1807,2511,2291,1314,1330,956,1125,1125,810,808,694,405,985
SPD_1253,193,162,87,108,441,433,525,579,293,263,183,245,232,214,211,193,114,290
SPD_1254,816,664,472,384,1705,1335,1813,1662,1151,1317,744,851,1080,791,872,1410,829,1925
SPD_1255,1180,1021,862,721,2081,1916,1992,1533,1940,1948,868,1337,1997,1639,1517,3137,1665,3646
SPD_1256,3597,2904,1616,1676,572,400,609,833,717,662,286,398,624,672,747,602,228,932
SPD_1257,2,1,4,2,0,0,0,3,22,0,1,0,1,5,5,4,4,0
SPD_1258,9816,8897,5242,5585,6898,5099,7695,11904,8490,6433,4215,4668,8009,7891,8188,7553,3590,12873
SPD_1259,15516,12257,13120,11895,8961,9026,10725,7688,6864,6809,4805,5986,5830,6460,4683,7285,3323,6932
